OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
51932,C2-1VL,C2,COMMERCIAL,0.00295612845956352,5.05803372467245e-07
51933,(T)(Q)C2-1VL,C2,COMMERCIAL,0.00154647435217765,1.36892071399472e-07
51934,C2-1VL,C2,COMMERCIAL,0.00196457888674604,1.92950629317328e-07
51935,RA-1,RA,AGRICULTURE,0.00961927764743462,3.19214487332179e-06
51936,[Q]C1-1,C1,COMMERCIAL,0.00193501796961391,1.85963577174433e-07
51937,R3-1,R3,RESIDENTIAL,0.000834452235253643,4.26028676150259e-08
51938,R3-1,R3,RESIDENTIAL,0.00131488993080434,9.83681099785442e-08
51939,(T)(Q)RS-1,RS,RESIDENTIAL,0.0019104705655094,2.28107622721075e-07
51940,[T][Q]MR2-1,MR2,INDUSTRIAL,0.0037364988038344,8.71749322070822e-07
51941,M2-2D,M2,INDUSTRIAL,0.00275594225574872,3.72501528126798e-07
51942,RA-1,RA,AGRICULTURE,0.0114757781023645,5.92771246486726e-06
51943,(Q)RD6-1-K,RD6,RESIDENTIAL,0.00351316790397064,7.54953497159299e-07
51944,R3-1-CUGU,R3,RESIDENTIAL,0.000828933735479792,3.57588929726932e-08
51945,(T)(Q)RD3-1,RD3,RESIDENTIAL,0.00245271495060266,2.31867680985829e-07
51946,R1-1-K,R1,RESIDENTIAL,0.0022730421344208,2.7644919295795e-07
51947,R1-1-K,R1,RESIDENTIAL,0.0026033136503992,3.73585062094162e-07
51948,(T)(Q)C2-2-O,C2,COMMERCIAL,0.00349060680841729,6.83221820450013e-07
51949,RS-1,RS,RESIDENTIAL,0.0133586544881045,2.55962286699589e-06
51950,(T)(Q)RD3-1,RD3,RESIDENTIAL,0.00253475541130091,2.00021247147256e-07
51951,(T)(Q)RD3-1,RD3,RESIDENTIAL,0.00201256999629611,2.56769249516306e-07
51952,(Q)RD3-1,RD3,RESIDENTIAL,0.00395570482737444,9.39224213146979e-07
51953,(Q)RD3-1,RD3,RESIDENTIAL,0.00349466602666803,6.86359890922775e-07
51954,RA-1-K,RA,AGRICULTURE,0.00392855389471814,9.49939970191384e-07
51955,RA-1-K,RA,AGRICULTURE,0.00308382619029112,2.21303114668566e-07
51956,RA-1-O-K,RA,AGRICULTURE,0.0135096200062813,4.07093455867271e-06
51957,QRD1.5-1,RD1.5,RESIDENTIAL,0.00403209147860906,8.4759551885013e-07
51958,(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00371899603965659,7.96900285533561e-07
51959,R1-1VL,R1,RESIDENTIAL,0.021072920909935,8.16087066487005e-06
51960,R1-1VL,R1,RESIDENTIAL,0.0100341049031619,2.27341084581418e-06
51961,[Q]MR2-1XL-CUGU,MR2,INDUSTRIAL,0.00348508441854953,4.91420650214206e-07
51962,[T][Q]MR2-1VL-CUGU,MR2,INDUSTRIAL,0.0077239626888053,3.70696705940219e-06
51963,[T][Q]MR2-1VL-CUGU,MR2,INDUSTRIAL,0.00473968070859455,1.39210657074009e-06
51964,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00145581949142216,1.15586596794458e-07
51965,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.0014550700214881,1.1540158382598e-07
51966,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00165333416154771,1.64393226023203e-07
51967,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00229502868900913,3.24998858225126e-07
51968,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.0022902770943242,3.23788164339567e-07
51969,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.0020408979167608,2.60232461021033e-07
51970,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00254442624899958,3.88542796442841e-07
51971,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00165321311320732,1.64358420791388e-07
51972,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00142677435988972,1.08523283311927e-07
51973,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00142667928264668,1.08506595908913e-07
51974,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.0036313711255343,6.91709562722975e-07
51975,[Q]M2-1VL-O-CUGU,M2,INDUSTRIAL,0.00357012995145884,6.8467697082261e-07
51976,[Q]M3-1VL-CUGU,M3,INDUSTRIAL,0.0247271844056558,3.44871845206888e-05
51977,[T][Q]M2-1VL-CUGU,M2,INDUSTRIAL,0.0164060355160823,9.38420005707311e-06
51978,[Q]MR2-1VL-CUGU,MR2,INDUSTRIAL,0.018799414704024,5.72579288727921e-06
51979,R1-1,R1,RESIDENTIAL,0.00182122608464318,1.9563914920887e-07
51980,(T)R1-1,R1,RESIDENTIAL,0.00950953416946335,2.76720675593966e-06
51981,[Q]R4-1-O,R4,RESIDENTIAL,0.00361290947760122,7.92407118819036e-07
51982,RA-1-K,RA,AGRICULTURE,0.0227501539084696,1.10142457581573e-05
51983,RA-1-K,RA,AGRICULTURE,0.036538345402085,1.59851075755069e-05
51984,R1-1,R1,RESIDENTIAL,0.013459025199647,4.75590651996689e-06
51985,[Q]C2-2D-RIO,C2,COMMERCIAL,0.00386989333707618,6.19961012323423e-07
51986,[Q]C2-2D-RIO,C2,COMMERCIAL,0.00469319314377985,1.25196844583969e-06
51987,RS-1,RS,RESIDENTIAL,0.00432684104685383,1.11732451062691e-06
51988,[Q]RD3-1,RD3,RESIDENTIAL,0.00184708020150479,2.11864811442662e-07
51989,R1-1,R1,RESIDENTIAL,0.000554499043050409,2.21768121318949e-09
51990,A2-1,A2,AGRICULTURE,0.0145877687328787,1.09155037343474e-05
51991,(T)(Q)RE15-1,RE15,RESIDENTIAL,0.00446428068743989,1.14350555954081e-06
51992,[T][Q]C2-4D,C2,COMMERCIAL,0.00451656438611634,1.20163947000585e-06
51993,PF-4D,PF,PUBLIC FACILITY,0.00492871141841623,1.48531178552786e-06
51994,(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00369027192301355,6.88177356273006e-07
51995,OS(PV),OS(PV),OPEN SPACE,0.00792838388663553,1.90918656953337e-06
51996,C2(PV),C2(PV),COMMERCIAL,0.0124659479122671,7.40380070573346e-06
51997,PF-1XL-RIO,PF,PUBLIC FACILITY,0.0369427553469924,6.57481110672257e-06
51998,[Q]R5-4D-O,R5,RESIDENTIAL,0.00276577223530613,4.18929116489846e-07
51999,[Q]R5-4D-O,R5,RESIDENTIAL,0.00254964566120611,3.72965865537168e-07
52000,RA-1-O-K,RA,AGRICULTURE,0.00480805480714694,1.0605955556924e-06
